contrast_id,dataset,task,metric,first,second,seed,fold_id,window_length,a,b,delta
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,0,16,0.49,0.34,0.14999999999999997
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,1,16,0.52,0.37,0.15000000000000002
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,2,16,0.55,0.4,0.15000000000000002
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,3,16,0.5800000000000001,0.43,0.15000000000000008
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,4,16,0.6100000000000001,0.46,0.15000000000000008
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,0,16,0.49,0.34,0.14999999999999997
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,1,16,0.52,0.37,0.15000000000000002
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,2,16,0.55,0.4,0.15000000000000002
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,3,16,0.5800000000000001,0.43,0.15000000000000008
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,4,16,0.6100000000000001,0.46,0.15000000000000008
R0_vs_R2,d3_rainbow_trout,regression,mae,R0,R2,0,0,16,1.1,1.4,-0.2999999999999998
R0_vs_R2,d3_rainbow_trout,regression,mae,R0,R2,0,1,16,1.15,1.45,-0.30000000000000004
R0_vs_R2,d3_rainbow_trout,regression,mae,R0,R2,0,2,16,1.2,1.5,-0.30000000000000004
R0_vs_R2,d3_rainbow_trout,regression,mae,R0,R2,0,3,16,1.25,1.55,-0.30000000000000004
R0_vs_R2,d3_rainbow_trout,regression,mae,R0,R2,0,4,16,1.3,1.6,-0.30000000000000004
R0_vs_R2,d3_rainbow_trout,regression,mae,R0,R2,1,0,16,1.1,1.4,-0.2999999999999998
R0_vs_R2,d3_rainbow_trout,regression,mae,R0,R2,1,1,16,1.15,1.45,-0.30000000000000004
R0_vs_R2,d3_rainbow_trout,regression,mae,R0,R2,1,2,16,1.2,1.5,-0.30000000000000004
R0_vs_R2,d3_rainbow_trout,regression,mae,R0,R2,1,3,16,1.25,1.55,-0.30000000000000004
R0_vs_R2,d3_rainbow_trout,regression,mae,R0,R2,1,4,16,1.3,1.6,-0.30000000000000004
R0_vs_R4,d3_rainbow_trout,classification,macro_f1,R0,esn,0,0,16,0.49,0.44,0.04999999999999999
R0_vs_R4,d3_rainbow_trout,classification,macro_f1,R0,esn,0,1,16,0.52,0.47,0.050000000000000044
R0_vs_R4,d3_rainbow_trout,classification,macro_f1,R0,esn,0,2,16,0.55,0.5,0.050000000000000044
R0_vs_R4,d3_rainbow_trout,classification,macro_f1,R0,esn,0,3,16,0.5800000000000001,0.53,0.050000000000000044
R0_vs_R4,d3_rainbow_trout,classification,macro_f1,R0,esn,0,4,16,0.6100000000000001,0.56,0.050000000000000044
R0_vs_R4,d3_rainbow_trout,classification,macro_f1,R0,esn,1,0,16,0.49,0.44,0.04999999999999999
R0_vs_R4,d3_rainbow_trout,classification,macro_f1,R0,esn,1,1,16,0.52,0.47,0.050000000000000044
R0_vs_R4,d3_rainbow_trout,classification,macro_f1,R0,esn,1,2,16,0.55,0.5,0.050000000000000044
R0_vs_R4,d3_rainbow_trout,classification,macro_f1,R0,esn,1,3,16,0.5800000000000001,0.53,0.050000000000000044
R0_vs_R4,d3_rainbow_trout,classification,macro_f1,R0,esn,1,4,16,0.6100000000000001,0.56,0.050000000000000044
R0_vs_R4,d3_rainbow_trout,regression,mae,R0,esn,0,0,16,1.1,1.25,-0.1499999999999999
R0_vs_R4,d3_rainbow_trout,regression,mae,R0,esn,0,1,16,1.15,1.3,-0.15000000000000013
R0_vs_R4,d3_rainbow_trout,regression,mae,R0,esn,0,2,16,1.2,1.35,-0.15000000000000013
R0_vs_R4,d3_rainbow_trout,regression,mae,R0,esn,0,3,16,1.25,1.4,-0.1499999999999999
R0_vs_R4,d3_rainbow_trout,regression,mae,R0,esn,0,4,16,1.3,1.4500000000000002,-0.15000000000000013
R0_vs_R4,d3_rainbow_trout,regression,mae,R0,esn,1,0,16,1.1,1.25,-0.1499999999999999
R0_vs_R4,d3_rainbow_trout,regression,mae,R0,esn,1,1,16,1.15,1.3,-0.15000000000000013
R0_vs_R4,d3_rainbow_trout,regression,mae,R0,esn,1,2,16,1.2,1.35,-0.15000000000000013
R0_vs_R4,d3_rainbow_trout,regression,mae,R0,esn,1,3,16,1.25,1.4,-0.1499999999999999
R0_vs_R4,d3_rainbow_trout,regression,mae,R0,esn,1,4,16,1.3,1.4500000000000002,-0.15000000000000013
